Id,Clean_Status__c,Sync_Status__c
0033j000049FgDzAAK,OK,Not Synced
0033j000049FgE0AAK,OK,Not Synced
0033j000049FgE2AAK,OK,Not Synced
0033j000049FgE3AAK,OK,Not Synced
0033j000049FgE6AAK,OK,Not Synced
0033j000049FgE7AAK,OK,Not Synced
0033j000049FgE8AAK,OK,Not Synced
0033j000049FgE9AAK,OK,Not Synced
0033j000049FgFSAA0,OK,Not Synced
0033j000049FgLqAAK,OK,Not Synced
0033j000049FgLrAAK,OK,Not Synced
0033j000049FgLsAAK,OK,Not Synced
0033j000049FgLtAAK,OK,Not Synced
0033j000049FgLwAAK,OK,Not Synced
0033j000049FgLxAAK,OK,Not Synced
0033j000049FgLzAAK,OK,Not Synced
0033j000049FgM0AAK,OK,Not Synced
0033j000049FgSPAA0,OK,Not Synced
0033j000049FgWBAA0,OK,Not Synced
0033j000049FgYbAAK,OK,Not Synced
0033j000049FgblAAC,OK,Not Synced
0033j000049FgcUAAS,OK,Not Synced
0033j000049FgdDAAS,OK,Not Synced
0033j000049FgdEAAS,OK,Not Synced
0033j000049FgdFAAS,OK,Not Synced
0033j000049FgdGAAS,OK,Not Synced
0033j000049FgdHAAS,OK,Not Synced
0033j000049FgdIAAS,OK,Not Synced
0033j000049FgdLAAS,OK,Not Synced
0033j000049FgdMAAS,OK,Not Synced
0033j000049FgdNAAS,OK,Not Synced
0033j000049FgdOAAS,OK,Not Synced
0033j000049FgdPAAS,OK,Not Synced
0033j000049FgdQAAS,OK,Not Synced
0033j000049FgdRAAS,OK,Not Synced
0033j000049FggsAAC,OK,Not Synced
0033j000049FggtAAC,OK,Not Synced
0033j000049FgguAAC,OK,Not Synced
0033j000049FgneAAC,OK,Not Synced
0033j000049Fgr2AAC,OK,Not Synced
0033j000049Fgr3AAC,OK,Not Synced
0033j000049Fgr4AAC,OK,Not Synced
0033j000049Fgr5AAC,OK,Not Synced
0033j000049Fgr6AAC,OK,Not Synced
0033j000049Fgr7AAC,OK,Not Synced
0033j000049Fgr8AAC,OK,Not Synced
0033j000049Fgr9AAC,OK,Not Synced
0033j000049FgrCAAS,OK,Not Synced
0033j000049FgrDAAS,OK,Not Synced
0033j000049FgrEAAS,OK,Not Synced
0033j000049FgrFAAS,OK,Not Synced
0033j000049Fh1eAAC,OK,Not Synced
0033j000049Fh1fAAC,OK,Not Synced
0033j000049Fh1gAAC,OK,Not Synced
0033j000049Fh1hAAC,OK,Not Synced
0033j000049Fh1iAAC,OK,Not Synced
0033j000049Fh2hAAC,OK,Not Synced
0033j000049Fh5SAAS,OK,Not Synced
0033j000049Fh7SAAS,OK,Not Synced
0033j000049Fh7hAAC,OK,Not Synced
0033j000049Fh99AAC,OK,Not Synced
0033j000049FhARAA0,OK,Not Synced
0033j000049FhCXAA0,OK,Not Synced
0033j000049FhDHAA0,OK,Not Synced
0033j000049FhFgAAK,OK,Not Synced
0033j000049FhHmAAK,OK,Not Synced
0033j000049FhOTAA0,OK,Not Synced
0033j000049FhP3AAK,OK,Not Synced
0033j000049FhPHAA0,OK,Not Synced
0033j000049FhQAAA0,OK,Not Synced
0033j000049FhZ7AAK,OK,Not Synced
0033j000049FhajAAC,OK,Not Synced
0033j000049FhckAAC,OK,Not Synced
0033j000049FhfAAAS,OK,Not Synced
0033j000049FhgNAAS,OK,Not Synced
0033j000049FhgOAAS,OK,Not Synced
0033j000049FhinAAC,OK,Not Synced
0033j000049FiqdAAC,OK,Not Synced
0033j000049FiwBAAS,OK,Not Synced
0033j000049FjrDAAS,OK,Not Synced
0033j000049Fk0eAAC,OK,Not Synced
0033j000049Fk7aAAC,OK,Not Synced
0033j000049Fk7zAAC,OK,Not Synced
0033j000049FkIAAA0,OK,Not Synced
0033j000049FkJIAA0,OK,Not Synced
0033j000049FkOfAAK,OK,Not Synced
0033j000049FkVEAA0,OK,Not Synced
0033j000049FkVtAAK,OK,Not Synced
0033j000049Fka5AAC,OK,Not Synced
0033j000049FkaZAAS,OK,Not Synced
0033j000049FkaoAAC,OK,Not Synced
0033j000049Fkm3AAC,OK,Not Synced
0033j000049Fkm4AAC,OK,Not Synced
0033j000049Fkm5AAC,OK,Not Synced
0033j000049Fkm6AAC,OK,Not Synced
0033j000049Fkm7AAC,OK,Not Synced
0033j000049Fkt0AAC,OK,Not Synced
0033j000049FktBAAS,OK,Not Synced
0033j000049Fl2cAAC,OK,Not Synced
0033j000049Fl4JAAS,OK,Not Synced
0033j000049Fl4KAAS,OK,Not Synced
0033j000049Fl4LAAS,OK,Not Synced
0033j000049Fl9iAAC,OK,Not Synced
0033j000049Fl9jAAC,OK,Not Synced
0033j000049Fl9lAAC,OK,Not Synced
0033j000049Fl9mAAC,OK,Not Synced
0033j000049Fl9nAAC,OK,Not Synced
0033j000049Fl9oAAC,OK,Not Synced
0033j000049Fl9pAAC,OK,Not Synced
0033j000049Fl9qAAC,OK,Not Synced
0033j000049Fl9rAAC,OK,Not Synced
0033j000049Fl9sAAC,OK,Not Synced
0033j000049Fl9tAAC,OK,Not Synced
0033j000049FlDrAAK,OK,Not Synced
0033j000049FlELAA0,OK,Not Synced
