Id,Delete_Reason__c
0033j00003wPOmoAAG,No Activity 3+ Years
0033j00003wPOmtAAG,No Activity 3+ Years
0033j00003wPOmyAAG,No Activity 3+ Years
0033j00003wPOmzAAG,No Activity 3+ Years
0033j00003wPOn0AAG,No Activity 3+ Years
0033j00003wPOn3AAG,No Activity 3+ Years
0033j00003wPOn4AAG,No Activity 3+ Years
0033j00003wPOn5AAG,No Activity 3+ Years
0033j00003wPOn6AAG,No Activity 3+ Years
0033j00003wPOn7AAG,No Activity 3+ Years
0033j00003wPOn8AAG,No Activity 3+ Years
0033j00003wPOn9AAG,No Activity 3+ Years
0033j00003wPOnAAAW,No Activity 3+ Years
0033j00003wPOnGAAW,No Activity 3+ Years
0033j00003wPOnHAAW,No Activity 3+ Years
0033j00003wPOnMAAW,No Activity 3+ Years
0033j00003wPOnNAAW,No Activity 3+ Years
0033j00003wPOq1AAG,No Activity 3+ Years
0033j00003wPOq3AAG,No Activity 3+ Years
0033j00003wPOq4AAG,No Activity 3+ Years
0033j00003wPOq5AAG,No Activity 3+ Years
0033j00003wPOq8AAG,No Activity 3+ Years
0033j00003wPOqDAAW,No Activity 3+ Years
0033j00003wPOqFAAW,No Activity 3+ Years
0033j00003wPOqGAAW,No Activity 3+ Years
0033j00003wPOqIAAW,No Activity 3+ Years
0033j00003wPOqJAAW,No Activity 3+ Years
0033j00003wPOqLAAW,No Activity 3+ Years
0033j00003wPOqNAAW,No Activity 3+ Years
0033j00003wPOqOAAW,No Activity 3+ Years
0033j00003wPOqPAAW,No Activity 3+ Years
0033j00003wPOqSAAW,No Activity 3+ Years
0033j00003wPOqUAAW,No Activity 3+ Years
0033j00003wPOqVAAW,No Activity 3+ Years
0033j00003wPOqXAAW,No Activity 3+ Years
0033j00003wPOqYAAW,No Activity 3+ Years
0033j00003wPOqZAAW,No Activity 3+ Years
0033j00003wPOqaAAG,No Activity 3+ Years
0033j00003wPOqcAAG,No Activity 3+ Years
0033j00003wPOqdAAG,No Activity 3+ Years
0033j00003wPOqgAAG,No Activity 3+ Years
0033j00003wPOqiAAG,No Activity 3+ Years
0033j00003wPOqjAAG,No Activity 3+ Years
0033j00003wPOqoAAG,No Activity 3+ Years
0033j00003wPOqpAAG,No Activity 3+ Years
0033j00003wPOquAAG,No Activity 3+ Years
0033j00003wPOqxAAG,No Activity 3+ Years
0033j00003wPOqzAAG,No Activity 3+ Years
0033j00003wPOr0AAG,No Activity 3+ Years
0033j00003wPOr1AAG,No Activity 3+ Years
0033j00003wPOr3AAG,No Activity 3+ Years
0033j00003wPOr4AAG,No Activity 3+ Years
0033j00003wPOr5AAG,No Activity 3+ Years
0033j00003wPOr6AAG,No Activity 3+ Years
0033j00003wPOr7AAG,No Activity 3+ Years
0033j00003wPOrAAAW,No Activity 3+ Years
0033j00003wPOrCAAW,No Activity 3+ Years
0033j00003wPOrEAAW,No Activity 3+ Years
0033j00003wPOrFAAW,No Activity 3+ Years
0033j00003wPOrGAAW,No Activity 3+ Years
0033j00003wPOrLAAW,No Activity 3+ Years
0033j00003wPOrMAAW,No Activity 3+ Years
0033j00003wPOrOAAW,No Activity 3+ Years
0033j00003wPOrQAAW,No Activity 3+ Years
0033j00003wPOrSAAW,No Activity 3+ Years
0033j00003wPOrTAAW,No Activity 3+ Years
0033j00003wPOrUAAW,No Activity 3+ Years
0033j00003wPOrVAAW,No Activity 3+ Years
0033j00003wPOrWAAW,No Activity 3+ Years
0033j00003wPOrXAAW,No Activity 3+ Years
0033j00003wPOrbAAG,No Activity 3+ Years
0033j00003wPOrdAAG,No Activity 3+ Years
0033j00003wPOreAAG,No Activity 3+ Years
0033j00003wPOrgAAG,No Activity 3+ Years
0033j00003wPOrhAAG,No Activity 3+ Years
0033j00003wPOriAAG,No Activity 3+ Years
0033j00003wPOrqAAG,No Activity 3+ Years
0033j00003wPOrsAAG,No Activity 3+ Years
0033j00003wPOrwAAG,No Activity 3+ Years
0033j00003wPOryAAG,No Activity 3+ Years
0033j00003wPOs3AAG,No Activity 3+ Years
0033j00003wPOs4AAG,No Activity 3+ Years
0033j00003wPOsAAAW,No Activity 3+ Years
0033j00003wPOsMAAW,No Activity 3+ Years
0033j00003wPOsNAAW,No Activity 3+ Years
0033j00003wPOsOAAW,No Activity 3+ Years
0033j00003wPOsPAAW,No Activity 3+ Years
0033j00003wPOsQAAW,No Activity 3+ Years
0033j00003wPOsSAAW,No Activity 3+ Years
0033j00003wPOsWAAW,No Activity 3+ Years
0033j00003wPOsZAAW,No Activity 3+ Years
0033j00003wPOsaAAG,No Activity 3+ Years
0033j00003wPOvKAAW,No Activity 3+ Years
0033j00003wPOvPAAW,No Activity 3+ Years
0033j00003wPOvQAAW,No Activity 3+ Years
0033j00003wPOvRAAW,No Activity 3+ Years
0033j00003wPOvTAAW,No Activity 3+ Years
0033j00003wPOvWAAW,No Activity 3+ Years
0033j00003wPOvXAAW,No Activity 3+ Years
0033j00003wPOvbAAG,No Activity 3+ Years
0033j00003wPOvdAAG,No Activity 3+ Years
0033j00003wPOvgAAG,No Activity 3+ Years
0033j00003wPOviAAG,No Activity 3+ Years
0033j00003wPOvoAAG,No Activity 3+ Years
0033j00003wPOvpAAG,No Activity 3+ Years
0033j00003wPOvqAAG,No Activity 3+ Years
0033j00003wPOvrAAG,No Activity 3+ Years
0033j00003wPOw1AAG,No Activity 3+ Years
0033j00003wPOw3AAG,No Activity 3+ Years
0033j00003wPOw9AAG,No Activity 3+ Years
0033j00003wPOwAAAW,No Activity 3+ Years
0033j00003wPOwCAAW,No Activity 3+ Years
0033j00003wPOwGAAW,No Activity 3+ Years
0033j00003wPOwNAAW,No Activity 3+ Years
0033j00003wPOwOAAW,No Activity 3+ Years
0033j00003wPOwVAAW,No Activity 3+ Years
0033j00003wPOwcAAG,No Activity 3+ Years
0033j00003wPOweAAG,No Activity 3+ Years
0033j00003wPOwfAAG,No Activity 3+ Years
0033j00003wPOwgAAG,No Activity 3+ Years
0033j00003wPOwkAAG,No Activity 3+ Years
0033j00003wPOwmAAG,No Activity 3+ Years
0033j00003wPOwpAAG,No Activity 3+ Years
0033j00003wPOwtAAG,No Activity 3+ Years
0033j00003wPOwvAAG,No Activity 3+ Years
0033j00003wPOxAAAW,No Activity 3+ Years
0033j00003wPOxEAAW,No Activity 3+ Years
0033j00003wPOxJAAW,No Activity 3+ Years
0033j00003wPOxNAAW,No Activity 3+ Years
0033j00003wPOxPAAW,No Activity 3+ Years
0033j00003wPOxSAAW,No Activity 3+ Years
0033j00003wPOxTAAW,No Activity 3+ Years
0033j00003wPOxUAAW,No Activity 3+ Years
0033j00003wPOxYAAW,No Activity 3+ Years
0033j00003wPOxeAAG,No Activity 3+ Years
0033j00003wPOxgAAG,No Activity 3+ Years
0033j00003wPOxjAAG,No Activity 3+ Years
0033j00003wPOxlAAG,No Activity 3+ Years
0033j00003wPOxmAAG,No Activity 3+ Years
0033j00003wPOxnAAG,No Activity 3+ Years
0033j00003wPOxoAAG,No Activity 3+ Years
0033j00003wPOxpAAG,No Activity 3+ Years
0033j00003wPP0nAAG,No Activity 3+ Years
0033j00003wPP0rAAG,No Activity 3+ Years
0033j00003wPP0uAAG,No Activity 3+ Years
0033j00003wPP0vAAG,No Activity 3+ Years
0033j00003wPP15AAG,No Activity 3+ Years
0033j00003wPP16AAG,No Activity 3+ Years
0033j00003wPP17AAG,No Activity 3+ Years
0033j00003wPP18AAG,No Activity 3+ Years
0033j00003wPP19AAG,No Activity 3+ Years
0033j00003wPP1AAAW,No Activity 3+ Years
0033j00003wPP1BAAW,No Activity 3+ Years
0033j00003wPP1CAAW,No Activity 3+ Years
0033j00003wPP1DAAW,No Activity 3+ Years
0033j00003wPP1EAAW,No Activity 3+ Years
0033j00003wPP1FAAW,No Activity 3+ Years
0033j00003wPP1HAAW,No Activity 3+ Years
0033j00003wPP1IAAW,No Activity 3+ Years
0033j00003wPP1JAAW,No Activity 3+ Years
0033j00003wPP1KAAW,No Activity 3+ Years
0033j00003wPP1LAAW,No Activity 3+ Years
0033j00003wPP1MAAW,No Activity 3+ Years
0033j00003wPP1NAAW,No Activity 3+ Years
0033j00003wPP1OAAW,No Activity 3+ Years
0033j00003wPP1PAAW,No Activity 3+ Years
0033j00003wPP1QAAW,No Activity 3+ Years
0033j00003wPP1VAAW,No Activity 3+ Years
0033j00003wPP1YAAW,No Activity 3+ Years
0033j00003wPP1dAAG,No Activity 3+ Years
0033j00003wPP1gAAG,No Activity 3+ Years
0033j00003wPP1jAAG,No Activity 3+ Years
0033j00003wPP1kAAG,No Activity 3+ Years
0033j00003wPP1lAAG,No Activity 3+ Years
0033j00003wPP1mAAG,No Activity 3+ Years
0033j00003wPP1nAAG,No Activity 3+ Years
0033j00003wPP1oAAG,No Activity 3+ Years
0033j00003wPP1qAAG,No Activity 3+ Years
0033j00003wPP1uAAG,No Activity 3+ Years
0033j00003wPP24AAG,No Activity 3+ Years
0033j00003wPP25AAG,No Activity 3+ Years
0033j00003wPP27AAG,No Activity 3+ Years
0033j00003wPP2EAAW,No Activity 3+ Years
0033j00003wPP2KAAW,No Activity 3+ Years
0033j00003wPP2OAAW,No Activity 3+ Years
0033j00003wPP2XAAW,No Activity 3+ Years
0033j00003wPP2YAAW,No Activity 3+ Years
0033j00003wPP2ZAAW,No Activity 3+ Years
0033j00003wPP2bAAG,No Activity 3+ Years
0033j00003wPP2fAAG,No Activity 3+ Years
0033j00003wPP2gAAG,No Activity 3+ Years
0033j00003wPP2jAAG,No Activity 3+ Years
0033j00003wPP2mAAG,No Activity 3+ Years
0033j00003wPP35AAG,No Activity 3+ Years
0033j00003wPP39AAG,No Activity 3+ Years
0033j00003wPP3CAAW,No Activity 3+ Years
0033j00003wPP3GAAW,No Activity 3+ Years
0033j00003wPP3OAAW,No Activity 3+ Years
0033j00003wPP3TAAW,No Activity 3+ Years
0033j00003wPP3UAAW,No Activity 3+ Years
0033j00003wPP3VAAW,No Activity 3+ Years
0033j00003wPP70AAG,No Activity 3+ Years
0033j00003wPP71AAG,No Activity 3+ Years
0033j00003wPP72AAG,No Activity 3+ Years
