"sf__Id","sf__Created",Id,Clean_Status__c,Delete_Reason__c,In_HubSpot_Not_Inclusion_List__c,Sync_Status__c
"0032A00002az0HTQAY","false","0032A00002az0HTQAY","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0HXQAY","false","0032A00002az0HXQAY","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0HmQAI","false","0032A00002az0HmQAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0IGQAY","false","0032A00002az0IGQAY","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0IIQAY","false","0032A00002az0IIQAY","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0INQAY","false","0032A00002az0INQAY","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0IYQAY","false","0032A00002az0IYQAY","Delete","No Email or Phone","false","Not Synced"
"0032A00002az0IbQAI","false","0032A00002az0IbQAI","Archive","Old Inactive Contact","false","Not Synced"
"0032A00002az0IjQAI","false","0032A00002az0IjQAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0IpQAI","false","0032A00002az0IpQAI","Archive","Old Inactive Contact","false","Not Synced"
"0032A00002az0J7QAI","false","0032A00002az0J7QAI","Delete","No Email or Phone","false","Not Synced"
"0032A00002az0JBQAY","false","0032A00002az0JBQAY","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0JPQAY","false","0032A00002az0JPQAY","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0JkQAI","false","0032A00002az0JkQAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0K3QAI","false","0032A00002az0K3QAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0KeQAI","false","0032A00002az0KeQAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0KhQAI","false","0032A00002az0KhQAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0KsQAI","false","0032A00002az0KsQAI","Delete","Inactive 3+ Years","false","Not Synced"
"0032A00002az0KyQAI","false","0032A00002az0KyQAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0L4QAI","false","0032A00002az0L4QAI","Delete","No Email or Phone","false","Not Synced"
"0032A00002az0L8QAI","false","0032A00002az0L8QAI","Archive","Old Inactive Contact","false","Not Synced"
"0032A00002az0LHQAY","false","0032A00002az0LHQAY","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0LIQAY","false","0032A00002az0LIQAY","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0LiQAI","false","0032A00002az0LiQAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0LjQAI","false","0032A00002az0LjQAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0LnQAI","false","0032A00002az0LnQAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0LqQAI","false","0032A00002az0LqQAI","Delete","No Email or Phone","false","Not Synced"
"0032A00002az0LrQAI","false","0032A00002az0LrQAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0LsQAI","false","0032A00002az0LsQAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0LtQAI","false","0032A00002az0LtQAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0M0QAI","false","0032A00002az0M0QAI","Delete","No Activity 3+ Years","false","Not Synced"
"0032A00002az0M2QAI","false","0032A00002az0M2QAI","Delete","No Activity 3+ Years","false","Not Synced"
