Id,Clean_Status__c,Delete_Reason__c
0032A00002az39oQAA,Duplicate,Master: 0032A00002azq9YQAQ
0032A00002az39pQAA,Duplicate,Master: 0032A00002az3LMQAY
0032A00002az39qQAA,Delete,No Activity 3+ Years
0032A00002az39rQAA,OK,
0032A00002az39sQAA,Duplicate,Master: 0032A000030hlqXQAQ
0032A00002az39tQAA,Delete,No Activity 3+ Years
0032A00002az39uQAA,Delete,No Activity 3+ Years
0032A00002az39vQAA,Delete,No Email or Phone
0032A00002az39wQAA,Delete,No Activity 3+ Years
0032A00002az39xQAA,Duplicate,Master: 0032A00002az30kQAA
0032A00002az39yQAA,Duplicate,Master: 003Rh00000LawChIAJ
0032A00002az3APQAY,Duplicate,Master: 0032A00002az0X0QAI
0032A00002az3AQQAY,Delete,No Activity 3+ Years
0032A00002az3ARQAY,Delete,No Activity 3+ Years
0032A00002az3ASQAY,Duplicate,Master: 0033j00004B1ohyAAB
0032A00002az3ATQAY,Delete,No Activity 3+ Years
0032A00002az3AUQAY,Delete,No Activity 3+ Years
0032A00002az3AVQAY,Duplicate,Master: 003Rh00000Lay0tIAB
0032A00002az3AWQAY,Delete,No Activity 3+ Years
0032A00002az3AXQAY,Delete,No Activity 3+ Years
0032A00002az3AYQAY,Delete,Inactive 3+ Years
0032A00002az3AZQAY,Archive,Old Inactive Contact
0032A00002az3AaQAI,Archive,Old Inactive Contact
0032A00002az3AbQAI,Delete,No Activity 3+ Years
0032A00002az3AcQAI,Delete,No Activity 3+ Years
0032A00002az3AdQAI,Archive,Old Inactive Contact
0032A00002az3AeQAI,Duplicate,Master: 003Rh000000fG5jIAE
0032A00002az3AfQAI,Delete,No Activity 3+ Years
0032A00002az3AgQAI,Archive,Old Inactive Contact
0032A00002az3AhQAI,Duplicate,Master: 0032A00002az1vSQAQ
0032A00002az3AiQAI,Archive,Old Inactive Contact
0032A00002az3AjQAI,Archive,Old Inactive Contact
0032A00002az3AkQAI,Delete,No Activity 3+ Years
0032A00002az3AlQAI,Delete,No Activity 3+ Years
0032A00002az3AmQAI,Archive,Old Inactive Contact
0032A00002az3AnQAI,Archive,Old Inactive Contact
0032A00002az3AoQAI,Archive,Old Inactive Contact
0032A00002az3ApQAI,Delete,No Email or Phone
0032A00002az3AqQAI,OK,
0032A00002az3ArQAI,Delete,No Activity 3+ Years
0032A00002az3AsQAI,Duplicate,Master: 0032A00002az0ZmQAI
0032A00002az3AtQAI,Duplicate,Master: 003Rh000000fG5jIAE
