Id,Clean_Status__c,Delete_Reason__c,Sync_Status__c
0032A00002Rm9f0QAB,Archive,Old Inactive Contact,Not Synced
0032A00002Rm9fjQAB,Delete,No Activity 3+ Years,Not Synced
0032A00002RmA2QQAV,Archive,Old Inactive Contact,Not Synced
0032A00002RmAJjQAN,Archive,Old Inactive Contact,Not Synced
0032A00002RmAYZQA3,Archive,Old Inactive Contact,Not Synced
0032A00002RmAz2QAF,OK,,Not Synced
0032A00002RmBLqQAN,Delete,No Activity 3+ Years,Not Synced
0032A00002RmBdBQAV,Duplicate,Master: 0032A00002YiVkSQAV,Not Synced
0032A00002RmCPFQA3,Archive,Old Inactive Contact,Not Synced
0032A00002RmJfGQAV,OK,,Not Synced
0032A00002RmJg9QAF,OK,,Not Synced
0032A00002RmKZTQA3,Archive,Old Inactive Contact,Not Synced
0032A00002RmKbPQAV,Archive,Old Inactive Contact,Not Synced
0032A00002RmKcIQAV,Archive,Old Inactive Contact,Not Synced
0032A00002RmKdfQAF,Archive,Old Inactive Contact,Not Synced
