Id,Clean_Status__c,Delete_Reason__c,In_HubSpot_Not_Inclusion_List__c,Sync_Status__c
0032A00002Yg591QAB,Delete,No Activity 3+ Years,false,Not Synced
0032A00002YgSdyQAF,Archive,Old Inactive Contact,false,Not Synced
0032A00002YgTCtQAN,Archive,Old Inactive Contact,false,Not Synced
0032A00002YgVCbQAN,Archive,Old Inactive Contact,false,Not Synced
0032A00002YgVEIQA3,OK,,false,Not Synced
0032A00002YgWRIQA3,OK,,false,Not Synced
0032A00002YgWgDQAV,Delete,No Activity 3+ Years,false,Not Synced
0032A00002YgXYuQAN,Delete,No Activity 3+ Years,false,Not Synced
0032A00002YgZ10QAF,Delete,No Activity 3+ Years,false,Not Synced
0032A00002YgaThQAJ,Archive,Old Inactive Contact,false,Not Synced
0032A00002YgeiyQAB,Delete,No Activity 3+ Years,false,Not Synced
0032A00002YgiZgQAJ,Archive,Old Inactive Contact,false,Not Synced
0032A00002YglBPQAZ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002YglEdQAJ,Delete,No Activity 3+ Years,false,Not Synced
0032A00002YglnFQAR,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Ygvn8QAB,Archive,Old Inactive Contact,false,Not Synced
0032A00002YgvtaQAB,Delete,No Activity 3+ Years,false,Not Synced
0032A00002YgwKDQAZ,Archive,Old Inactive Contact,false,Not Synced
0032A00002YgwhaQAB,Delete,No Email or Phone,false,Not Synced
0032A00002YgwvIQAR,Delete,No Activity 3+ Years,false,Not Synced
0032A00002YgwyHQAR,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Ygx8CQAR,Archive,Old Inactive Contact,false,Not Synced
0032A00002Yh7vfQAB,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Yh80ZQAR,OK,,false,Not Synced
0032A00002Yh9flQAB,OK,,false,Not Synced
0032A00002YhAQ8QAN,Delete,No Activity 3+ Years,false,Not Synced
0032A00002YhHEaQAN,Archive,Old Inactive Contact,false,Not Synced
0032A00002YhLSgQAN,Delete,No Activity 3+ Years,false,Not Synced
0032A00002YhN1SQAV,OK,,false,Not Synced
0032A00002YhNDnQAN,OK,,false,Not Synced
0032A00002YhNWkQAN,OK,,false,Not Synced
0032A00002YhQ09QAF,Archive,Old Inactive Contact,false,Not Synced
0032A00002YhQ6pQAF,Archive,Old Inactive Contact,false,Not Synced
0032A00002YhQdeQAF,Delete,No Activity 3+ Years,false,Not Synced
0032A00002Yi3dAQAR,Archive,Old Inactive Contact,false,Not Synced
0032A00002Yi3iAQAR,OK,,false,Not Synced
0032A00002YiLxmQAF,OK,,false,Not Synced
0032A00002YiUVgQAN,Archive,Old Inactive Contact,false,Not Synced
0032A00002YiVPLQA3,Archive,Old Inactive Contact,false,Not Synced
0032A00002YiVkSQAV,OK,,false,Not Synced
0032A00002YicGoQAJ,OK,,false,Not Synced
0032A00002Yijg4QAB,Archive,Old Inactive Contact,false,Not Synced
