Id,Clean_Status__c,Delete_Reason__c,Sync_Status__c
0033j00004B1pZcAAJ,Duplicate,Master: 0033j00004B1pZTAAZ,Not Synced
0033j00004B1pZfAAJ,Duplicate,Master: 0033j00004B1pZTAAZ,Not Synced
0033j00004B1pZiAAJ,Duplicate,Master: 0033j00004B1pZnAAJ,Not Synced
0033j00004B1pZkAAJ,Duplicate,Master: 0033j00004B1pZnAAJ,Not Synced
0033j00004B1pZlAAJ,Duplicate,Master: 0033j00004B1pZnAAJ,Not Synced
0033j00004B1pZnAAJ,OK,,
0033j00004B1pZvAAJ,OK,,
0033j00004B1pZyAAJ,Duplicate,Master: 0033j00004B1pbdAAB,Not Synced
0033j00004B1pZzAAJ,Duplicate,Master: 0033j00004B1pbdAAB,Not Synced
0033j00004B1pa0AAB,Duplicate,Master: 0033j00004B1pbdAAB,Not Synced
0033j00004B1pa1AAB,Duplicate,Master: 0033j00004B1pbdAAB,Not Synced
0033j00004B1pa3AAB,Duplicate,Master: 0033j00004B1pbdAAB,Not Synced
0033j00004B1pbbAAB,Duplicate,Master: 0033j00004B1pbdAAB,Not Synced
0033j00004B1pbdAAB,OK,,
0033j00004B1pbfAAB,OK,,
0033j00004B1pbhAAB,OK,,
0033j00004B1pbmAAB,Duplicate,Master: 0033j00004B1pbpAAB,Not Synced
0033j00004B1pbpAAB,OK,,
0033j00004B1pbsAAB,OK,,
0033j00004B1pbxAAB,Duplicate,Master: 0033j00004B1pbyAAB,Not Synced
0033j00004B1pbyAAB,OK,,
0033j00004B1pc0AAB,OK,,
0033j00004B1pc6AAB,Duplicate,Master: 0033j00004B1pc0AAB,Not Synced
0033j00004B1pc7AAB,Duplicate,Master: 0033j00004B1pc0AAB,Not Synced
0033j00004B1pcEAAR,Duplicate,Master: 0033j00004B1pcNAAR,Not Synced
0033j00004B1pcHAAR,Duplicate,Master: 0033j00004B1pcNAAR,Not Synced
0033j00004B1pcNAAR,OK,,
0033j00004B1pcOAAR,Duplicate,Master: 0033j00004B1pcNAAR,Not Synced
0033j00004B1pcZAAR,Duplicate,Master: 0033j00004B1pccAAB,Not Synced
0033j00004B1pccAAB,OK,,
0033j00004B1pcdAAB,Duplicate,Master: 0033j00004B1pceAAB,Not Synced
0033j00004B1pceAAB,OK,,
0033j00004B1pciAAB,Duplicate,Master: 0032A00002az082QAA,Not Synced
0033j00004B1pckAAB,Duplicate,Master: 0032A00002az082QAA,Not Synced
0033j00004B1pclAAB,Duplicate,Master: 0032A00002az082QAA,Not Synced
0033j00004B1pcnAAB,Duplicate,Master: 0032A00002az082QAA,Not Synced
0033j00004B1pcpAAB,Duplicate,Master: 0032A00002az082QAA,Not Synced
0033j00004B1pcqAAB,Duplicate,Master: 0032A00002az082QAA,Not Synced
0033j00004B1pcyAAB,OK,,
0033j00004B1pebAAB,OK,,
0033j00004B1pecAAB,Duplicate,Master: 0033j00004B1pebAAB,Not Synced
0033j00004B1pelAAB,Duplicate,Master: 0033j00004B1pebAAB,Not Synced
0033j00004B1peqAAB,Delete,No Email or Phone,Not Synced
0033j00004B1pesAAB,Duplicate,Master: 0033j00004B1pebAAB,Not Synced
0033j00004B1pevAAB,Duplicate,Master: 0033j00004B1pebAAB,Not Synced
0033j00004B1pexAAB,Duplicate,Master: 0033j00004B1pebAAB,Not Synced
0033j00004B1pezAAB,Duplicate,Master: 0033j00004B1pebAAB,Not Synced
0033j00004B1pf0AAB,Duplicate,Master: 0033j00004B1pebAAB,Not Synced
0033j00004B1pf7AAB,Duplicate,Master: 0033j00004B1pfAAAR,Not Synced
0033j00004B1pfAAAR,OK,,
0033j00004B1pfBAAR,Duplicate,Master: 0033j00004B1pfMAAR,Not Synced
0033j00004B1pfDAAR,Duplicate,Master: 0033j00004B1pfMAAR,Not Synced
0033j00004B1pfFAAR,OK,,
0033j00004B1pfGAAR,Duplicate,Master: 0033j00004B1pfMAAR,Not Synced
0033j00004B1pfLAAR,Delete,No Email or Phone,Not Synced
0033j00004B1pfMAAR,OK,,
0033j00004B1pfRAAR,OK,,
0033j00004B1pfdAAB,OK,,
0033j00004B1pfhAAB,Duplicate,Master: 0033j00004B1pfdAAB,Not Synced
0033j00004B1pfpAAB,OK,,
0033j00004B1pfqAAB,OK,,
0033j00004B1pfrAAB,OK,,
0033j00004B1pfsAAB,OK,,
0033j00004B1phTAAR,Duplicate,Master: 0033j00004B1phVAAR,Not Synced
0033j00004B1phUAAR,Duplicate,Master: 0033j00004B1phVAAR,Not Synced
0033j00004B1phVAAR,OK,,
0033j00004B1phbAAB,OK,,
0033j00004B1phdAAB,Duplicate,Master: 0033j00004B1phbAAB,Not Synced
0033j00004B1pheAAB,Duplicate,Master: 0033j00004B1phbAAB,Not Synced
0033j00004B1phgAAB,Duplicate,Master: 0033j00004B1phbAAB,Not Synced
0033j00004B1phjAAB,OK,,
0033j00004B1phqAAB,OK,,
0033j00004B1phwAAB,OK,,
0033j00004B1phzAAB,Duplicate,Master: 0033j00004B1pi5AAB,Not Synced
0033j00004B1pi1AAB,Duplicate,Master: 0033j00004B1pi5AAB,Not Synced
0033j00004B1pi2AAB,Duplicate,Master: 0033j00004B1pi5AAB,Not Synced
0033j00004B1pi3AAB,Duplicate,Master: 0033j00004B1pi5AAB,Not Synced
0033j00004B1pi5AAB,OK,,
0033j00004B1pi9AAB,Duplicate,Master: 0033j00004B1piBAAR,Not Synced
0033j00004B1piBAAR,OK,,
0033j00004B1piDAAR,Duplicate,Master: 0033j00004B1piBAAR,Not Synced
0033j00004B1piFAAR,OK,,
0033j00004B1piHAAR,Duplicate,Master: 0033j00004B1pidAAB,Not Synced
0033j00004B1piJAAR,Duplicate,Master: 0033j00004B1piFAAR,Not Synced
0033j00004B1piMAAR,Duplicate,Master: 0033j00004B1picAAB,Not Synced
0033j00004B1piRAAR,OK,,
0033j00004B1piYAAR,Duplicate,Master: 0033j00004B1piFAAR,Not Synced
0033j00004B1piaAAB,Duplicate,Master: 0033j00004B1piFAAR,Not Synced
0033j00004B1picAAB,OK,,
0033j00004B1pidAAB,OK,,
0033j00004B1pieAAB,Duplicate,Master: 0033j00004B1piRAAR,Not Synced
0033j00004B1piiAAB,Duplicate,Master: 0033j00004B1pidAAB,Not Synced
0033j00004B1pimAAB,Duplicate,Master: 0033j00004B1pidAAB,Not Synced
0033j00004B1pinAAB,Duplicate,Master: 0033j00004B1pidAAB,Not Synced
0033j00004B1piqAAB,Duplicate,Master: 0033j00004B1pidAAB,Not Synced
0033j00004B1pirAAB,Duplicate,Master: 0033j00004B1piFAAR,Not Synced
0033j00004B1pitAAB,Duplicate,Master: 0033j00004B1piFAAR,Not Synced
0033j00004B1pivAAB,OK,,
0033j00004B1piwAAB,Duplicate,Master: 0033j00004B1pivAAB,Not Synced
0033j00004B1pixAAB,Duplicate,Master: 0033j00004B1pivAAB,Not Synced
0033j00004B1pklAAB,OK,,
0033j00004B1pkpAAB,OK,,
0033j00004B1pkrAAB,Duplicate,Master: 0033j00004B1pkpAAB,Not Synced
0033j00004B1pktAAB,Duplicate,Master: 0033j00004B1pkpAAB,Not Synced
0033j00004B1pl2AAB,Duplicate,Master: 0033j00004B1pl5AAB,Not Synced
0033j00004B1pl5AAB,OK,,
0033j00004B1pl6AAB,Duplicate,Master: 0033j00004B1pl5AAB,Not Synced
0033j00004B1pl8AAB,Duplicate,Master: 0033j00004B1pl5AAB,Not Synced
0033j00004B1plBAAR,Duplicate,Master: 0033j00004B1pl5AAB,Not Synced
0033j00004B1plFAAR,OK,,
0033j00004B1plHAAR,Duplicate,Master: 0033j00004B1plFAAR,Not Synced
0033j00004B1plMAAR,OK,,
0033j00004B1plOAAR,Duplicate,Master: 0033j00004B1plMAAR,Not Synced
0033j00004B1plQAAR,Duplicate,Master: 0033j00004B1plMAAR,Not Synced
